,default,default-prefork,atreugo,atreugo-prefork,fasthttp-prefork,fiber,fiber-prefork
0 ms,108.00,97.32,93.22,50.52,50.42,65.39,55.00
10 ms,127.40,81.69,75.80,94.37,90.32,74.60,58.99
100 ms,124.82,113.47,110.25,107.76,104.36,116.04,108.55
200 ms,205.26,207.71,204.81,206.98,205.03,203.53,205.79
500 ms,503.62,502.25,502.47,502.26,503.11,502.09,504.40
