,default,default-prefork,atreugo,atreugo-prefork,fasthttp-prefork,fiber,fiber-prefork
0 ms,120,5 15 16 12 21 21 21 16 17,59,5 11 12 10 13 11 11 11 11,6 10 10 10 10 10 15 10 12,59,6 11 11 11 11 11 11 11 12
10 ms,121,6 19 13 18 16 17 17 18 16,60,6 12 10 10 11 10 11 12 13,6 11 10 10 12 11 11 10 12,61,5 11 11 12 11 11 11 11 11
100 ms,120,5 14 21 21 15 27 30 15 24,60,6 12 11 11 11 10 11 11 12,6 11 12 11 11 11 10 12 11,63,6 12 12 12 12 11 12 11 11
200 ms,82,6 14 21 29 14 18 13 18 14,58,6 13 10 8 10 12 11 12 12,6 9 12 12 11 10 11 9 14,61,5 11 11 12 12 12 12 11 11
500 ms,79,6 29 17 18 16 21 27 19 18,58,5 12 11 11 11 12 9 11 11,6 10 13 12 10 12 10 10 12,61,5 12 11 12 12 12 11 11 11
