,default,default-prefork,atreugo,atreugo-prefork,fasthttp,fasthttp-prefork,fiber,fiber-prefork
0 ms,36492.57,40310.48,45516.74,48781.16,43155.61,48794.55,44438.26,50085.45
10 ms,42325.85,44797.92,43395.30,46850.16,43703.56,46023.37,39407.80,42017.25
100 ms,37880.90,43066.54,35108.69,40179.19,40366.01,34830.21,32095.80,34583.14
200 ms,24059.57,23970.98,24270.79,23807.84,23507.98,23694.01,23969.18,23682.91
500 ms,9682.79,9626.98,9700.29,9648.39,9643.48,9610.97,9634.60,9656.24
