,default,default-prefork,atreugo,atreugo-prefork,fasthttp,fasthttp-prefork,fiber,fiber-prefork
100,690.74,694.31,858.35,817.00,825.41,770.95,827.98,820.72
1000,693.40,629.49,665.58,670.65,738.98,682.44,679.04,654.99
2000,713.45,595.16,685.63,590.02,684.93,677.10,732.01,662.27
5000,662.58,590.63,502.16,638.55,663.62,596.80,662.87,608.78
