,default,default-prefork,atreugo,atreugo-prefork,fasthttp,fasthttp-prefork,fiber,fiber-prefork
100,665.95,547.50,591.03,660.85,701.76,609.13,660.76,635.47
1000,608.63,540.52,479.47,489.53,610.07,524.14,552.51,516.03
2000,569.93,515.11,533.57,395.08,562.62,510.02,534.86,500.75
5000,499.89,469.95,497.03,427.29,393.41,467.75,497.40,471.92
