,default,default-prefork,atreugo,atreugo-prefork,fasthttp,fasthttp-prefork,fiber,fiber-prefork
0 ms,73263.02,68251.15,463644.90,557554.57,477477.03,685885.50,459393.48,588805.22
10 ms,74200.65,71008.09,355507.44,424554.16,431725.38,440703.60,393070.72,424101.47
100 ms,47414.19,48456.32,47743.66,47756.90,47742.96,47758.44,47737.88,47811.21
200 ms,24298.00,24350.81,23872.02,23866.91,23897.84,23870.14,23866.73,23869.54
500 ms,9745.11,9776.44,7959.44,7960.69,7955.70,7957.49,7966.39,7958.93
