,default,default-prefork,atreugo,atreugo-prefork,fasthttp,fasthttp-prefork,fiber,fiber-prefork
100,3089.76,3077.12,3095.33,3065.98,3096.22,3064.06,3093.25,3087.74
1000,30934.03,31301.74,31417.66,30403.88,31532.39,29829.51,31806.07,30453.58
2000,40554.90,49092.84,45738.91,47693.42,44420.47,51414.55,46393.51,51267.13
5000,40337.02,47623.68,43495.93,49398.45,44970.31,49389.04,45632.66,47646.29
