,default,default-prefork,atreugo,atreugo-prefork,fasthttp,fasthttp-prefork,fiber,fiber-prefork
100,3105.15,3115.88,3117.30,3118.09,3118.43,3113.48,3117.85,3113.59
1000,31405.81,32343.81,31992.54,31993.85,32296.92,32056.41,31899.45,32128.66
2000,61569.30,62203.06,63863.66,63824.87,63940.64,63882.78,63902.28,63818.52
5000,71991.61,70688.04,158115.68,157767.50,158998.77,158343.65,157572.08,157850.62
