,default,default-prefork,atreugo,atreugo-prefork,fasthttp,fasthttp-prefork,fiber,fiber-prefork
0 ms,97.18,59.10,61.95,50.39,64.65,46.75,61.87,47.73
10 ms,111.75,73.83,71.71,58.79,73.72,57.63,70.50,57.21
100 ms,122.43,114.07,109.59,103.52,109.71,103.98,110.32,104.38
200 ms,215.78,201.72,209.13,205.95,201.34,202.87,201.53,204.90
500 ms,502.45,501.63,501.89,503.21,502.67,502.18,502.50,506.05
